Time,System Production (Wh)
02/01/2020,"54617"
02/02/2020,"55110"
02/03/2020,"48589"
02/04/2020,"59192"
02/05/2020,"50638"
02/06/2020,"56075"
02/07/2020,"54135"
02/08/2020,"56385"
02/09/2020,"43058"
02/10/2020,"37508"
02/11/2020,"0"
02/12/2020,"0"
02/13/2020,"0"
02/14/2020,"0"
02/15/2020,"0"
02/16/2020,"0"
02/17/2020,"0"
02/18/2020,"0"
02/19/2020,"0"
02/20/2020,"0"
02/21/2020,"0"
02/22/2020,"0"
02/23/2020,"0"
02/24/2020,"0"
02/25/2020,"0"
02/26/2020,"0"
02/27/2020,"0"
02/28/2020,"0"
02/29/2020,"0"
